segment_id,segment_length_m
0,83.19406776887645
1,155.40231695115745
2,84.10417274275379
3,83.9683695525898
4,83.85168697367453
5,155.40231695115745
6,151.80572505444184
7,151.80572505444184
8,83.87759419480483
9,305.6866703381284
10,84.05697027600705
11,225.0571991895948
12,305.6866703381284
13,24.932589114944488
14,62.920274321084065
15,84.36630900909965
16,160.2318635705553
17,62.92027432108406
18,83.02730263353367
19,160.2318635705553
20,83.03771461858922
21,83.7725250751427
22,305.9486221463037
23,79.60986593218786
24,21.72634345620005
25,84.15535970573931
26,118.59482663820586
27,78.83607395869663
28,84.3270091227706
29,144.24861517650575
30,89.33131722048509
31,82.60949764922157
32,306.2254885448429
33,252.84605280315773
34,142.47183679867368
35,27.736917580874763
36,270.78735945693035
37,228.9681206844207
38,127.78065080536027
39,222.39102722561324
40,88.2744105494498
41,78.52040171865852
42,78.67720325395526
43,78.73045843085323
44,307.8464011642237
45,306.2532543603999
46,79.0386349287128
47,19.240439184265103
48,78.6430576957963
49,122.99225659726382
50,78.68771352440025
51,78.18369496213182
52,243.00712897422193
53,80.62890189028029
54,80.79544755304187
55,113.67613959505779
56,143.6298498409447
57,295.6598320562449
58,93.83397709456133
59,166.9304875613816
60,96.36459881913602
61,25.439380077688913
62,240.76364131131908
63,96.36459881913602
64,167.07331869731854
65,238.75521269476758
66,351.0572148853483
67,75.06853560434746
68,49.642807640694485
69,79.42848388583681
70,29.152451387464566
71,160.34729297074207
72,61.65673397564175
73,84.50455767278112
74,25.249037902478733
75,75.66771734979494
76,68.54059141789321
77,282.5719017117477
78,132.9746920428673
79,29.152451387464566
80,175.75143274186055
81,78.28614179356953
82,24.228714370059876
83,84.28846850452123
84,176.31680942590657
85,77.97509637087039
86,76.77526181908803
87,87.80544658514086
88,310.56748835538576
89,111.31302673689873
90,77.61653872250439
91,77.18133537458068
92,308.7525330688517
93,79.25639402496368
94,77.55666489644351
95,305.3745592008638
96,77.71694695140644
97,146.89975118253594
98,77.9145023559223
99,143.46049121580833
100,77.23825931421884
101,239.0209462840908
102,77.8102255181918
103,76.82318204633614
104,96.16150878210425
105,102.09626024860084
106,160.65970549329288
107,28.58493411182805
108,121.90947416437814
109,278.2652499007928
110,28.456264276407264
111,83.49761182144493
112,119.4737192287621
113,119.47371922876209
114,131.17267562778997
115,45.63336002333563
116,65.04649589917456
117,142.23994383295027
118,95.66712817490797
119,37.655474436655496
120,73.31002144323959
121,63.89047261361391
122,92.42295097540644
123,408.08266479408053
124,81.68811577914045
125,363.8562320826559
126,983.7820952664146
127,106.42675412706416
128,15.679714163666068
129,166.47780997078777
130,108.9575603789169
131,990.2586020724663
